sequence_id,gesture0,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture_true,Usage,all_sensors
ANON_000505,Cheek - pinch skin,Cheek - pinch skin,Forehead - pull hairline,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Public,False
ANON_002753,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,False
ANON_001870,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Public,True
ANON_000101,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,False
ANON_000087,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin,Above ear - pull hair,Public,True
ANON_001577,Neck - scratch,Neck - scratch,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - pinch skin,Above ear - pull hair,Neck - scratch,Neck - scratch,Above ear - pull hair,Public,False
ANON_000681,Eyelash - pull hair,Eyelash - pull hair,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Eyelash - pull hair,Private,True
ANON_002782,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyebrow - pull hair,Public,True
ANON_000935,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Private,False
ANON_000856,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Write name on leg,Write name on leg,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Public,True
ANON_002717,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,False
ANON_002740,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Feel around in tray and pull out an object,Text on phone,Text on phone,Text on phone,Public,False
ANON_001149,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,True
ANON_001564,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Write name on leg,Write name on leg,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Public,False
ANON_001585,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Public,True
ANON_002360,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,True
ANON_001186,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Write name on leg,Write name on leg,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Private,True
ANON_000252,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Public,True
ANON_002321,Forehead - pull hairline,Forehead - pull hairline,Forehead - scratch,Forehead - scratch,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Neck - scratch,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Private,False
ANON_002005,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,True
ANON_002133,Write name in air,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Neck - scratch,Above ear - pull hair,Forehead - pull hairline,Forehead - pull hairline,Above ear - pull hair,Above ear - pull hair,Forehead - pull hairline,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Public,False
ANON_001146,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Eyelash - pull hair,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,False
ANON_000677,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Public,False
ANON_001872,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Public,False
ANON_000560,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Private,True
ANON_000572,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Private,False
ANON_000998,Scratch knee/leg skin,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Public,True
ANON_002616,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Write name on leg,Write name on leg,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Public,False
ANON_001094,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Public,True
ANON_000393,Cheek - pinch skin,Cheek - pinch skin,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Cheek - pinch skin,Cheek - pinch skin,Eyelash - pull hair,Cheek - pinch skin,Cheek - pinch skin,Eyelash - pull hair,Public,False
ANON_000120,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,False
ANON_001762,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Public,False
ANON_000192,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Public,True
ANON_000077,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin,Public,False
ANON_000625,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Public,False
ANON_003248,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Public,False
ANON_001104,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline,Private,False
ANON_003020,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Public,True
ANON_000554,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,True
ANON_000896,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Forehead - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Forehead - scratch,Forehead - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Forehead - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Public,False
ANON_001746,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,False
ANON_000733,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Private,True
ANON_001296,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Private,False
ANON_002546,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Private,False
ANON_001788,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Public,True
ANON_001930,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Private,True
ANON_001888,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair,Private,True
ANON_002973,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Write name on leg,Write name on leg,Wave hello,Wave hello,Write name in air,Wave hello,Wave hello,Wave hello,Wave hello,Private,False
ANON_001947,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Private,True
ANON_000546,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Write name on leg,Write name on leg,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup,Public,True
ANON_000708,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,True
ANON_000878,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Feel around in tray and pull out an object,Scratch knee/leg skin,Pinch knee/leg skin,Scratch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Write name on leg,Write name on leg,Pinch knee/leg skin,Pinch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Scratch knee/leg skin,Private,True
ANON_001381,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Public,True
ANON_002104,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Eyebrow - pull hair,Above ear - pull hair,Cheek - pinch skin,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair,Cheek - pinch skin,Cheek - pinch skin,Above ear - pull hair,Above ear - pull hair,Cheek - pinch skin,Cheek - pinch skin,Above ear - pull hair,Above ear - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Above ear - pull hair,Private,False
ANON_002554,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,True
ANON_002816,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Private,False
ANON_001752,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Private,True
ANON_003178,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Write name on leg,Write name on leg,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Private,False
ANON_002020,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Public,True
ANON_003137,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,False
ANON_002232,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,True
ANON_003024,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,True
ANON_001332,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - pull hairline,Forehead - pull hairline,Forehead - scratch,Private,True
ANON_002814,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Public,True
ANON_002908,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Write name on leg,Write name on leg,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Text on phone,Private,True
ANON_001525,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Forehead - scratch,Private,False
ANON_001301,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Write name on leg,Write name on leg,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Wave hello,Private,False
ANON_001465,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Neck - pinch skin,Private,False
ANON_003155,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,False
ANON_001339,Cheek - pinch skin,Neck - scratch,Neck - scratch,Neck - scratch,Cheek - pinch skin,Neck - scratch,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin,Eyelash - pull hair,Cheek - pinch skin,Cheek - pinch skin,Neck - scratch,Neck - scratch,Cheek - pinch skin,Neck - scratch,Eyelash - pull hair,Neck - scratch,Cheek - pinch skin,Cheek - pinch skin,Neck - scratch,Private,True
ANON_000579,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Neck - scratch,Private,False
